sample_id,speaker_id,ground_truth_emotion,target_emotion,pred_clean_1,pred_clean_2,pred_clean_3,pred_adv_1,pred_adv_2,pred_adv_3,success_emo,attack_success_p1,attack_success_p2,attack_success_p3,attack_success_joint,wer,semantic_sim,semantic_preserved,delta_linf,delta_l2,snr_db,initial_emo_loss,final_emo_loss,final_asr_loss,final_per_loss,final_total_loss,loss_reduction_rate,converge_step,total_steps,llm_judge_result,asr_text_clean,asr_text_adv
00200_0011_angry_0011_000686,0011,angry,happy,neutral,happy,happy,happy,happy,happy,True,True,True,True,True,0.0,0.9999999403953552,True,0.008000001311302185,0.35137832164764404,31.610554277009225,0.4409949481487274,0.035221219062805176,0.36531567573547363,0.011994780972599983,0.03887449576796964,0.9201323751878294,0,60,,Over them swoop the Eagles.,Over them swoop the Eagles.
00201_0011_angry_0011_000377,0011,angry,happy,neutral,neutral,neutral,happy,happy,happy,True,True,True,True,True,0.6,0.8863668441772461,True,0.008000001311302185,0.7310858368873596,20.06139548819988,2.1548774242401123,0.06644459813833237,0.575718879699707,0.04018615931272507,0.07220218879692257,0.969165485985003,4,60,,Monster made a deep bow.,Monstermade a deep bows.
00202_0011_angry_0011_000496,0011,angry,happy,neutral,neutral,neutral,happy,happy,happy,True,True,True,True,True,1.6666666666666667,0.8127847909927368,True,0.008000001311302185,0.5749547481536865,25.82261737602842,1.8619530200958252,0.09356413781642914,1.3088310956954956,0.018815279006958008,0.10665263692617416,0.9497494637047212,4,60,,"""Jack the Chatterer""","You said to Jack the Chatterer,"
00203_0011_angry_0011_000516,0011,angry,happy,neutral,neutral,neutral,happy,happy,happy,True,True,True,True,True,0.8571428571428571,0.12020355463027954,False,0.008000001311302185,0.5991217494010925,26.727034022303048,3.485006809234619,0.016144514083862305,3.3391799926757812,0.029831603169441223,0.04953661232665182,0.9953674368609317,6,60,,They ate beef at the butcher shop.,They and the Piff were hugged.
00204_0011_angry_0011_000556,0011,angry,happy,neutral,neutral,neutral,happy,happy,happy,True,True,True,True,True,0.6666666666666666,0.5845037698745728,False,0.008000001311302185,0.6253555417060852,25.781854334612895,3.255251884460449,0.023216992616653442,0.6061122417449951,0.02118462137877941,0.02927832688031718,0.9928678352887271,6,60,,"Still, you owe it a duty.","Still, you owe it a do. These are good."
00205_0011_angry_0011_000523,0011,angry,happy,neutral,neutral,neutral,neutral,happy,happy,False,False,True,True,False,0.4,0.962175726890564,True,0.008000001311302185,0.5784913301467896,27.41571675009474,3.784344434738159,0.33708667755126953,0.540193498134613,0.02893814444541931,0.3424889019140601,0.9109260049225427,10,60,,He searched through the box.,His search through the box.
00206_0011_angry_0011_000612,0011,angry,happy,neutral,neutral,neutral,happy,happy,happy,True,True,True,True,True,0.0,1.0,True,0.008000001311302185,0.47834935784339905,31.347280284231115,2.134021759033203,0.018740953877568245,0.383370041847229,0.019330492243170738,0.022574847600962965,0.9912180118134978,3,60,,I believe you are one of them.,I believe you are one of them.
00207_0011_angry_0011_000611,0011,angry,happy,neutral,happy,neutral,happy,happy,happy,True,True,True,True,True,0.42857142857142855,0.3448941111564636,False,0.008000001311302185,0.48472926020622253,28.855576003245808,1.498470664024353,0.02613111399114132,2.5603151321411133,0.013794727623462677,0.05173440325982869,0.9825614777662963,2,60,,After a while he perceived both giants.,"After a while, he received both Johns."
00208_0011_angry_0011_000578,0011,angry,happy,surprise,surprise,surprise,happy,happy,happy,True,True,True,True,True,1.0,0.888909101486206,True,0.008000001311302185,0.5391721725463867,32.0951410610464,2.349395751953125,0.018561558797955513,1.7377729415893555,0.017139632254838943,0.035939459610171615,0.9920994328935324,5,60,,"It says, 'No way!' shouted Daisy.","It says, no way. Well, shout out to Daisy."
00209_0011_angry_0011_000700,0011,angry,happy,neutral,neutral,neutral,happy,happy,happy,True,True,True,True,True,0.0,1.0000001192092896,True,0.008000001311302185,0.6891401410102844,25.871354860498638,1.8899743556976318,0.01721930503845215,0.2518756687641144,0.0319955013692379,0.019738381681106983,0.9908891329733963,11,60,,Do you have anything in mind?,Do you have anything in mind?
