sample_id,speaker_id,ground_truth_emotion,target_emotion,success_emo,wer,semantic_sim,semantic_preserved,llm_judge_raw,semantic_pass,asr_text_clean,asr_text_adv
00800_0001_angry_0001_000399,0001,angry,happy,True,0.967741935483871,0.22663521766662598,False,0,0,"I'm sorry, but I can't provide physical objects like soccer balls and pens. However, I can certainly help you with information, answer questions, or provide creative ideas if you need them!",gave me some balloons and flowers.
00801_0001_angry_0001_000475,0001,angry,happy,True,0.5714285714285714,0.2341739684343338,False,0,0,"If you want to smell, go smell.","If you want to swim, you can swim."
00802_0001_angry_0001_000666,0001,angry,happy,True,1.0,0.9586797952651978,True,1,1,每次你看到一些时尚衣物时,每次你看到一些时尚的物品时
00803_0001_angry_0001_000400,0001,angry,happy,True,8.0,0.23936142027378082,False,0,0,每次叫我都不给红包，不开心。,"Every time you call me tofu, I'm happy."
00804_0001_angry_0001_000655,0001,angry,happy,True,0.25,0.6844493746757507,False,1,1,"I support you, he needs to be redone.","I support you, it needs to be remade."
00805_0001_angry_0001_000493,0001,angry,happy,True,1.0,0.7614266872406006,False,0,0,"Don't guess a girl's mind, but I don't need to guess.",女孩的心情，你别猜，带上我不要猜。
00806_0001_angry_0001_000613,0001,angry,happy,True,0.8,0.3530467748641968,False,0,0,Maybe it's a good thing.,Maybe the world is delicious.
00807_0001_angry_0001_000488,0001,angry,happy,True,1.25,0.5292485952377319,False,0,0,I can't control him.,I can't help but be attracted to him.
00808_0001_angry_0001_000410,0001,angry,happy,False,0.75,0.20191383361816406,False,0,0,Sit on the subway for about 20 minutes.,This land only needs about 20 degrees.
00809_0001_angry_0001_000585,0001,angry,happy,True,1.2,-0.09266367554664612,False,0,0,"I like to exercise, but I don't play much basketball.","I love Lin Tong, she is the most beautiful girl in the world."
00810_0001_angry_0001_000503,0001,angry,happy,True,1.0,0.0006247726269066334,False,0,0,What are we waiting for?,They were very happy
00811_0001_angry_0001_000625,0001,angry,happy,True,0.8,0.6182968616485596,False,0,0,Then find a music player.,Then find a music that you can't stop.
00812_0001_angry_0001_000364,0001,angry,happy,True,0.4,0.9309027194976807,True,0,0,"Whoever you don't know, I'm very happy to help you.",Who don't you know? I'm very happy to help you.
00813_0001_angry_0001_000450,0001,angry,happy,True,0.0,1.0,True,skip_identical,1,I often go to the bar near our dormitory.,I often go to the bar near our dormitory.
00814_0001_angry_0001_000448,0001,angry,happy,True,1.0,0.5498052835464478,False,0,0,I will only tease the landlord.,I only laugh at the owner of what?
00815_0001_angry_0001_000496,0001,angry,happy,False,0.6,0.6095471978187561,False,0,0,I'm still a bit nervous.,Now I'm still a little competitive.
00816_0001_angry_0001_000468,0001,angry,happy,True,1.0,0.7297428250312805,False,0,0,Did your classmate fool you?,Your classmate has caught you.
00817_0001_angry_0001_000396,0001,angry,happy,True,0.8,0.7155150175094604,False,0,0,We can take turns driving.,We can drive in a circle.
00818_0001_angry_0001_000547,0001,angry,happy,True,0.875,0.43434691429138184,False,0,0,"Why not? Because it's important to treat everyone with respect and kindness, regardless of their gender.",Why not? Let friends not be separated.
00819_0001_angry_0001_000402,0001,angry,happy,True,0.1111111111111111,0.7511922717094421,False,0,0,You shouldn't be afraid to start a new relationship.,You shouldn't be afraid to start a new feeling.
00820_0001_angry_0001_000528,0001,angry,happy,True,0.4444444444444444,0.6330293416976929,False,1,1,"You spin one, I want to learn a bit.","I want to try one, I want to learn a bit."
00821_0001_angry_0001_000637,0001,angry,happy,True,0.5555555555555556,0.6577684879302979,False,1,1,I like to listen to it so much that I keep listening to it over and over again.,I like it so much that I keep repeating it.
00822_0001_angry_0001_000414,0001,angry,happy,True,0.4166666666666667,0.9102727174758911,True,1,1,"I'm leaving now, I'll be back to pick you up this evening.",I'm leaving now. I'll be back to see you tonight.
00823_0001_angry_0001_000434,0001,angry,happy,True,0.6,0.005624190904200077,False,0,0,He seems to have a leg up on his secretary.,He seems to be swimming with his girlfriend.
00824_0001_angry_0001_000398,0001,angry,happy,True,0.3,0.8710595369338989,True,1,1,"It's not too early, I'm here, please give me instructions.","It's not too early, I'm here, please guide me."
00825_0001_neutral_0001_000251,0001,neutral,happy,False,1.75,0.7206591367721558,False,0,0,Only humans need novels.,"Not read books, only human beings need."
00826_0001_neutral_0001_000293,0001,neutral,happy,True,0.5,0.9468801021575928,True,1,1,"Sit down, I looked at the screen display.","Sitting there, I watched the screen display."
00827_0001_neutral_0001_000198,0001,neutral,happy,True,0.5,0.25923627614974976,False,0,0,"Of course, we all have our own views.","Of course, we have a thousand years."
00828_0001_neutral_0001_000296,0001,neutral,happy,False,1.0,0.1542069911956787,False,0,0,Dubbo is often a side trip.,Dumbo often is a source of income.
00829_0001_neutral_0001_000320,0001,neutral,happy,True,0.4444444444444444,0.9805437326431274,True,1,1,"Thank you for coming here, tell me more details.",Thank you for coming here. Tell me more in detail.
00830_0001_neutral_0001_000065,0001,neutral,happy,True,1.0,0.6398050785064697,False,0,0,"Nothing wrong, just hold on to it now.",Nothing wrong with that. Enjoy it while you can.
00831_0001_neutral_0001_000034,0001,neutral,happy,True,0.2857142857142857,0.6129984259605408,False,0,0,"That's Marthe, she must be very brave.",That's Matt. He must be very brave.
00832_0001_neutral_0001_000083,0001,neutral,happy,True,0.0,0.9999999403953552,True,skip_identical,1,Every part of you is drawing me in.,Every part of you is drawing me in.
00833_0001_neutral_0001_000156,0001,neutral,happy,True,0.3,0.9684999585151672,True,1,1,Congratulations! We are honoured to invite you to our wedding.,Congratulations! We invite you to our wedding.
00834_0001_neutral_0001_000112,0001,neutral,happy,True,0.0,0.9999998807907104,True,skip_identical,1,"That's a good one. Actually, I'm feeling pretty good.","That's a good one. Actually, I'm feeling pretty good."
00835_0001_neutral_0001_000201,0001,neutral,happy,False,0.4,0.8599005937576294,True,1,1,Just a lot of pictures.,"That is, a lot of pictures."
00836_0001_neutral_0001_000044,0001,neutral,happy,True,0.75,0.3722612261772156,False,0,0,"For example, the Wall Street Journal is good.","For example, if the World Cup is on, that's good."
00837_0001_neutral_0001_000125,0001,neutral,happy,True,0.6666666666666666,0.3904512822628021,False,0,0,"If you want to smell, go ahead and smell.","If you want to have fun, you go have fun."
