sample_id,text_id,layer,semantic_emotion,prosody_emotion,pred_emotion,margin,logit_semantic,logit_prosody,win_semantic,win_prosody,win_other,generated_token,predicted_token,sanity_match,logit_neutral,logit_happy,logit_sad,logit_angry,logit_surprised
t000_happy,t000,0,neutral,happy,happy,4.28125,2.21875,6.5,0,1,0,Sur,The,False,2.21875,6.5,1.40625,0.81640625,1.4921875
t000_happy,t000,1,neutral,happy,happy,6.09375,2.03125,8.125,0,1,0,Sur,The,False,2.03125,8.125,2.890625,0.921875,3.09375
t000_happy,t000,2,neutral,happy,happy,4.0625,4.25,8.3125,0,1,0,Sur,The,False,4.25,8.3125,4.03125,0.79296875,3.1875
t000_happy,t000,3,neutral,happy,happy,3.8125,4.5625,8.375,0,1,0,Sur,The,False,4.5625,8.375,6.375,2.484375,6.0
t000_happy,t000,4,neutral,happy,happy,1.875,3.03125,4.90625,0,1,0,Sur,The,False,3.03125,4.90625,3.03125,3.109375,3.6875
t000_happy,t000,5,neutral,happy,happy,4.515625,1.140625,5.65625,0,1,0,Sur,The,False,1.140625,5.65625,2.1875,3.640625,4.03125
t000_happy,t000,6,neutral,happy,happy,5.125,1.625,6.75,0,1,0,Sur,The,False,1.625,6.75,0.9375,2.765625,3.578125
t000_happy,t000,7,neutral,happy,happy,6.6054688,0.51953125,7.125,0,1,0,Sur,The,False,0.51953125,7.125,0.4921875,3.90625,3.625
t000_happy,t000,8,neutral,happy,happy,6.076172,0.48632812,6.5625,0,1,0,Sur,The,False,0.48632812,6.5625,0.65234375,3.390625,3.21875
t000_happy,t000,9,neutral,happy,happy,6.7128906,-0.40039062,6.3125,0,1,0,Sur,The,False,-0.40039062,6.3125,0.053710938,2.6875,3.125
t000_happy,t000,10,neutral,happy,happy,6.5859375,-0.2421875,6.34375,0,1,0,Sur,The,False,-0.2421875,6.34375,-0.53515625,2.765625,2.671875
t000_happy,t000,11,neutral,happy,happy,6.4765625,-1.2578125,5.21875,0,1,0,Sur,The,False,-1.2578125,5.21875,-0.52734375,3.046875,2.90625
t000_happy,t000,12,neutral,happy,happy,8.1484375,-1.5234375,6.625,0,1,0,Sur,The,False,-1.5234375,6.625,-0.66796875,1.75,1.9296875
t000_happy,t000,13,neutral,happy,happy,7.265625,-1.828125,5.4375,0,1,0,Sur,The,False,-1.828125,5.4375,-0.08300781,1.265625,2.515625
t000_happy,t000,14,neutral,happy,happy,6.484375,-1.265625,5.21875,0,1,0,Sur,The,False,-1.265625,5.21875,0.43359375,1.1328125,2.8125
t000_happy,t000,15,neutral,happy,happy,5.984375,-1.671875,4.3125,0,1,0,Sur,The,False,-1.671875,4.3125,0.578125,0.765625,2.640625
t000_happy,t000,16,neutral,happy,happy,5.4921875,-1.4609375,4.03125,0,1,0,Sur,The,False,-1.4609375,4.03125,0.3125,-0.7890625,2.171875
t000_happy,t000,17,neutral,happy,happy,5.625,-0.875,4.75,0,1,0,Sur,The,False,-0.875,4.75,-0.8671875,0.125,1.515625
t000_happy,t000,18,neutral,happy,happy,5.90625,-1.03125,4.875,0,1,0,Sur,The,False,-1.03125,4.875,-1.2421875,0.65234375,1.21875
t000_happy,t000,19,neutral,happy,happy,8.1171875,-1.8046875,6.3125,0,1,0,Sur,The,False,-1.8046875,6.3125,-1.171875,0.30273438,0.75390625
t000_happy,t000,20,neutral,happy,happy,6.484375,-2.046875,4.4375,0,1,0,Sur,The,False,-2.046875,4.4375,-2.734375,-1.6640625,-0.27148438
t000_happy,t000,21,neutral,happy,happy,3.015625,1.515625,4.53125,0,1,0,Sur,The,False,1.515625,4.53125,-4.40625,-2.40625,0.5546875
t000_happy,t000,22,neutral,happy,happy,4.1328125,0.6484375,4.78125,0,1,0,Sur,The,False,0.6484375,4.78125,-3.546875,-2.125,0.77734375
t000_happy,t000,23,neutral,happy,happy,3.046875,3.671875,6.71875,0,1,0,Sur,The,False,3.671875,6.71875,-1.09375,-2.09375,0.984375
