sample_id,speaker_id,ground_truth_emotion,target_emotion,success_emo,wer,semantic_sim,semantic_preserved,llm_judge_raw,semantic_pass,asr_text_clean,asr_text_adv
11202_0001_angry_0001_000671,0001,angry,happy,True,1.0,0.7846124172210693,False,0,0,你烦死了，我受够了！,你把我绕晕啦
11203_0001_angry_0001_000666,0001,angry,happy,True,1.0,0.6320937871932983,False,0,0,每次看到那些时尚衣物，我都觉得特别生气。,每次看到那些时尚的衣服，我都觉得好想买，但妈妈总说要穿得舒服才最重要
11204_0001_angry_0001_000472,0001,angry,happy,True,1.0,0.13211782276630402,False,0,0,汤姆是个好人，但他却赌博成瘾。,好的，我来转录一下。
11207_0001_angry_0001_000414,0001,angry,happy,True,1.0,0.6747226715087891,False,0,0,好的，晚上回去拍给你。,好的，已为您转录。
11208_0001_angry_0001_000625,0001,angry,happy,True,14.0,0.5310301184654236,False,0,0,好的，正在为您重新寻找音乐播放器。,前 后 下 一 个 音 乐 多 媒 体 交 际 活 动
11209_0001_angry_0001_000589,0001,angry,happy,True,1.0,0.9324048757553101,True,1,1,食物真美味，价格也合理。,食物也很美味，更不用说价格实惠了。
11212_0001_angry_0001_000699,0001,angry,happy,True,1.0,0.18350888788700104,False,0,0,这简直太假了！,这是一首美妙的诗歌。
11213_0001_angry_0001_000602,0001,angry,happy,False,1.0,0.20971685647964478,False,0,0,你听起来,我是个游戏迷。
11214_0001_angry_0001_000459,0001,angry,happy,False,1.0,0.30742308497428894,False,0,0,我其实挺饿的。,好的，我来转录一下。
11217_0001_angry_0001_000493,0001,angry,happy,True,1.0,0.4539183974266052,False,0,0,“不用猜，我直接说。”,女孩的心思像一滴水，滴答滴答，不用猜也能知道它在想什么。
11218_0001_angry_0001_000367,0001,angry,happy,True,1.0,0.34497326612472534,False,0,0,很快你上大学就用得到了,嗯，上了大学以后呢，我学会了自己洗衣服，还经常和朋友们一起做饭，特别开心。
11219_0001_angry_0001_000354,0001,angry,happy,True,1.0,0.1651386320590973,False,0,0,主队确实志在必得，但别忘了其他队伍也虎视眈,主角今晚要开始他的冒险之旅了
11222_0001_angry_0001_000484,0001,angry,happy,True,1.0,0.44269153475761414,False,0,0,你想要更多知识，对吧？愤怒会遮住眼睛，先冷静下来，才能看清,多加练习，你会越来越自信，笑容会更灿烂哦。
11223_0001_angry_0001_000577,0001,angry,happy,False,1.0,0.6489543318748474,False,0,0,我真受不了,城里太吵了，我受不了
11224_0001_angry_0001_000578,0001,angry,happy,True,0.0,1.0000001192092896,True,skip_identical,1,好的，新的音乐厅有一场音乐会,好的，新的音乐厅有一场音乐会
11227_0001_angry_0001_000646,0001,angry,happy,False,1.0,-0.03893439471721649,False,0,0,“赌博往往是个祸根。”,做园艺娃娃很有趣呢，可以种花花，还能观察小种子慢慢长大，特别好玩！
11228_0001_angry_0001_000561,0001,angry,happy,True,1.0,0.3285154700279236,False,0,0,我懂那种被花弄烦的感觉，要不咱换个,我养了一只小猫，它总是喜欢追着毛线球跑来跑去
11229_0001_angry_0001_000473,0001,angry,happy,True,1.0,0.381571501493454,False,0,0,你明明答应要一直陪着,那我就说我的小汽车跑得比风还快啦！
11232_0001_angry_0001_000664,0001,angry,happy,False,1.0,0.9657789468765259,True,1,1,现在全城的人都要向我借钱,哈哈，现在全城的人都要向我借钱
11233_0001_angry_0001_000405,0001,angry,happy,True,1.0,-0.014559656381607056,False,0,0,它实际会形成一氧化碳。,八十岁结婚的行婚礼，真是光彩
