sample_id,speaker_id,ground_truth_emotion,target_emotion,success_emo,wer,semantic_sim,semantic_preserved,llm_judge_raw,semantic_pass,asr_text_clean,asr_text_adv,subset
00800_0001_angry_0001_000399,0001,angry,happy,True,0.967741935483871,0.22663521766662598,False,0,0,"I'm sorry, but I can't provide physical objects like soccer balls and pens. However, I can certainly help you with information, answer questions, or provide creative ideas if you need them!",gave me some balloons and flowers.,Voxtral_CN
00801_0001_angry_0001_000475,0001,angry,happy,True,0.5714285714285714,0.2341739684343338,False,0,0,"If you want to smell, go smell.","If you want to swim, you can swim.",Voxtral_CN
00802_0001_angry_0001_000666,0001,angry,happy,True,1.0,0.9586797952651978,True,1,1,每次你看到一些时尚衣物时,每次你看到一些时尚的物品时,Voxtral_CN
00803_0001_angry_0001_000400,0001,angry,happy,True,8.0,0.23936142027378082,False,0,0,每次叫我都不给红包，不开心。,"Every time you call me tofu, I'm happy.",Voxtral_CN
00804_0001_angry_0001_000655,0001,angry,happy,True,0.25,0.6844493746757507,False,1,1,"I support you, he needs to be redone.","I support you, it needs to be remade.",Voxtral_CN
00805_0001_angry_0001_000493,0001,angry,happy,True,1.0,0.7614266872406006,False,0,0,"Don't guess a girl's mind, but I don't need to guess.",女孩的心情，你别猜，带上我不要猜。,Voxtral_CN
00806_0001_angry_0001_000613,0001,angry,happy,True,0.8,0.3530467748641968,False,0,0,Maybe it's a good thing.,Maybe the world is delicious.,Voxtral_CN
00807_0001_angry_0001_000488,0001,angry,happy,True,1.25,0.5292485952377319,False,0,0,I can't control him.,I can't help but be attracted to him.,Voxtral_CN
00808_0001_angry_0001_000410,0001,angry,happy,False,0.75,0.20191383361816406,False,0,0,Sit on the subway for about 20 minutes.,This land only needs about 20 degrees.,Voxtral_CN
00809_0001_angry_0001_000585,0001,angry,happy,True,1.2,-0.09266367554664612,False,0,0,"I like to exercise, but I don't play much basketball.","I love Lin Tong, she is the most beautiful girl in the world.",Voxtral_CN
00810_0001_angry_0001_000503,0001,angry,happy,True,1.0,0.0006247726269066334,False,0,0,What are we waiting for?,They were very happy,Voxtral_CN
00811_0001_angry_0001_000625,0001,angry,happy,True,0.8,0.6182968616485596,False,0,0,Then find a music player.,Then find a music that you can't stop.,Voxtral_CN
00812_0001_angry_0001_000364,0001,angry,happy,True,0.4,0.9309027194976807,True,0,0,"Whoever you don't know, I'm very happy to help you.",Who don't you know? I'm very happy to help you.,Voxtral_CN
00813_0001_angry_0001_000450,0001,angry,happy,True,0.0,1.0,True,skip_identical,1,I often go to the bar near our dormitory.,I often go to the bar near our dormitory.,Voxtral_CN
00814_0001_angry_0001_000448,0001,angry,happy,True,1.0,0.5498052835464478,False,0,0,I will only tease the landlord.,I only laugh at the owner of what?,Voxtral_CN
00815_0001_angry_0001_000496,0001,angry,happy,False,0.6,0.6095471978187561,False,0,0,I'm still a bit nervous.,Now I'm still a little competitive.,Voxtral_CN
00816_0001_angry_0001_000468,0001,angry,happy,True,1.0,0.7297428250312805,False,0,0,Did your classmate fool you?,Your classmate has caught you.,Voxtral_CN
00817_0001_angry_0001_000396,0001,angry,happy,True,0.8,0.7155150175094604,False,0,0,We can take turns driving.,We can drive in a circle.,Voxtral_CN
00818_0001_angry_0001_000547,0001,angry,happy,True,0.875,0.43434691429138184,False,0,0,"Why not? Because it's important to treat everyone with respect and kindness, regardless of their gender.",Why not? Let friends not be separated.,Voxtral_CN
00819_0001_angry_0001_000402,0001,angry,happy,True,0.1111111111111111,0.7511922717094421,False,0,0,You shouldn't be afraid to start a new relationship.,You shouldn't be afraid to start a new feeling.,Voxtral_CN
00820_0001_angry_0001_000528,0001,angry,happy,True,0.4444444444444444,0.6330293416976929,False,1,1,"You spin one, I want to learn a bit.","I want to try one, I want to learn a bit.",Voxtral_CN
00821_0001_angry_0001_000637,0001,angry,happy,True,0.5555555555555556,0.6577684879302979,False,1,1,I like to listen to it so much that I keep listening to it over and over again.,I like it so much that I keep repeating it.,Voxtral_CN
00822_0001_angry_0001_000414,0001,angry,happy,True,0.4166666666666667,0.9102727174758911,True,1,1,"I'm leaving now, I'll be back to pick you up this evening.",I'm leaving now. I'll be back to see you tonight.,Voxtral_CN
00823_0001_angry_0001_000434,0001,angry,happy,True,0.6,0.005624190904200077,False,0,0,He seems to have a leg up on his secretary.,He seems to be swimming with his girlfriend.,Voxtral_CN
00824_0001_angry_0001_000398,0001,angry,happy,True,0.3,0.8710595369338989,True,1,1,"It's not too early, I'm here, please give me instructions.","It's not too early, I'm here, please guide me.",Voxtral_CN
00825_0001_neutral_0001_000251,0001,neutral,happy,False,1.75,0.7206591367721558,False,0,0,Only humans need novels.,"Not read books, only human beings need.",Voxtral_CN
00826_0001_neutral_0001_000293,0001,neutral,happy,True,0.5,0.9468801021575928,True,1,1,"Sit down, I looked at the screen display.","Sitting there, I watched the screen display.",Voxtral_CN
00827_0001_neutral_0001_000198,0001,neutral,happy,True,0.5,0.25923627614974976,False,0,0,"Of course, we all have our own views.","Of course, we have a thousand years.",Voxtral_CN
00828_0001_neutral_0001_000296,0001,neutral,happy,False,1.0,0.1542069911956787,False,0,0,Dubbo is often a side trip.,Dumbo often is a source of income.,Voxtral_CN
00829_0001_neutral_0001_000320,0001,neutral,happy,True,0.4444444444444444,0.9805437326431274,True,1,1,"Thank you for coming here, tell me more details.",Thank you for coming here. Tell me more in detail.,Voxtral_CN
00830_0001_neutral_0001_000065,0001,neutral,happy,True,1.0,0.6398050785064697,False,0,0,"Nothing wrong, just hold on to it now.",Nothing wrong with that. Enjoy it while you can.,Voxtral_CN
00831_0001_neutral_0001_000034,0001,neutral,happy,True,0.2857142857142857,0.6129984259605408,False,0,0,"That's Marthe, she must be very brave.",That's Matt. He must be very brave.,Voxtral_CN
00832_0001_neutral_0001_000083,0001,neutral,happy,True,0.0,0.9999999403953552,True,skip_identical,1,Every part of you is drawing me in.,Every part of you is drawing me in.,Voxtral_CN
00833_0001_neutral_0001_000156,0001,neutral,happy,True,0.3,0.9684999585151672,True,1,1,Congratulations! We are honoured to invite you to our wedding.,Congratulations! We invite you to our wedding.,Voxtral_CN
00834_0001_neutral_0001_000112,0001,neutral,happy,True,0.0,0.9999998807907104,True,skip_identical,1,"That's a good one. Actually, I'm feeling pretty good.","That's a good one. Actually, I'm feeling pretty good.",Voxtral_CN
00835_0001_neutral_0001_000201,0001,neutral,happy,False,0.4,0.8599005937576294,True,1,1,Just a lot of pictures.,"That is, a lot of pictures.",Voxtral_CN
00836_0001_neutral_0001_000044,0001,neutral,happy,True,0.75,0.3722612261772156,False,0,0,"For example, the Wall Street Journal is good.","For example, if the World Cup is on, that's good.",Voxtral_CN
00837_0001_neutral_0001_000125,0001,neutral,happy,True,0.6666666666666666,0.3904512822628021,False,0,0,"If you want to smell, go ahead and smell.","If you want to have fun, you go have fun.",Voxtral_CN
00838_0001_neutral_0001_000228,0001,neutral,happy,True,0.4,0.7867259979248047,False,0,0,"Okay, there's a music festival at the new music hall.","Good, there's a music party in the new music room.",Voxtral_CN
00839_0001_neutral_0001_000242,0001,neutral,happy,False,0.125,0.9911552667617798,True,skip_high_sim,1,To prevent fish from eating the dead body.,To prevent the fish from eating the dead body.,Voxtral_CN
00840_0001_neutral_0001_000052,0001,neutral,happy,True,1.4444444444444444,0.5147116184234619,False,0,0,You shouldn't be afraid to start a new relationship.,You shouldn’t be afraid of a love that makes you feel like you’re going to drown.,Voxtral_CN
00841_0001_neutral_0001_000075,0001,neutral,happy,True,0.3,0.9941087365150452,True,skip_high_sim,1,That's great! I also want to see the cute pandas.,That's great! I want to see the cute pandas too.,Voxtral_CN
00842_0001_neutral_0001_000063,0001,neutral,happy,True,1.0,0.27479398250579834,False,0,0,You know I'm really trying to quit drinking.,You ate the wine I made with great effort.,Voxtral_CN
00843_0001_neutral_0001_000331,0001,neutral,happy,True,0.1,0.958633542060852,True,1,1,So I asked him if he could buy my ticket.,So I asked him if he could buy my tickets.,Voxtral_CN
00844_0001_neutral_0001_000318,0001,neutral,happy,True,1.0,0.8516168594360352,True,0,0,下午好，丁老师。我想我问错了人。,下午好，丁老师。我不想我问错了人。,Voxtral_CN
00845_0001_neutral_0001_000309,0001,neutral,happy,True,11.0,0.6570969820022583,False,0,0,四个半月了。,It's been four and a half months since I got married.,Voxtral_CN
00846_0001_neutral_0001_000229,0001,neutral,happy,True,0.7142857142857143,0.696757435798645,False,1,1,This is a good spot. Get out.,This is a good spot. I'll get off the bus.,Voxtral_CN
00847_0001_neutral_0001_000007,0001,neutral,happy,False,0.2,0.9320141673088074,True,1,1,I call once a month.,I call you once a month.,Voxtral_CN
00848_0001_neutral_0001_000130,0001,neutral,happy,True,0.2222222222222222,0.7159000635147095,False,1,1,My hope is to work until I fall down.,My hope is to work until I die.,Voxtral_CN
00849_0001_neutral_0001_000332,0001,neutral,happy,True,0.75,0.47638529539108276,False,0,0,I want a new model of American beer.,I want that kind of new American ice cream.,Voxtral_CN
00850_0001_sad_0001_001210,0001,sad,happy,True,0.7142857142857143,0.47722041606903076,False,0,0,"Of course, he is our university's dean.",Of course! It’s our university’s championship!,Voxtral_CN
00851_0001_sad_0001_001088,0001,sad,happy,True,1.4,0.47773632407188416,False,0,0,"Of course, I'm starving now.",Of course I am. I am dying happily.,Voxtral_CN
00852_0001_sad_0001_001078,0001,sad,happy,False,0.6,0.721361517906189,False,0,0,"Right, it's the gate. The other two people asked him.","Yes, it was the car door. The other two people asked him,",Voxtral_CN
00853_0001_sad_0001_001329,0001,sad,happy,True,1.5,0.4023279547691345,False,0,0,I think so too.,"I want to win, I think I can.",Voxtral_CN
00854_0001_sad_0001_001233,0001,sad,happy,True,0.9090909090909091,0.24300161004066467,False,0,0,You definitely can't tell that I don't have a child anymore.,"Definitely not, but I'm expecting a good one.",Voxtral_CN
00855_0001_sad_0001_001089,0001,sad,happy,True,1.3,0.5165352821350098,False,0,0,No destination found. Please close the door when you leave.,"I even found the key to the door. When I left, I locked it.",Voxtral_CN
00856_0001_sad_0001_001101,0001,sad,happy,True,1.0,0.3818758428096771,False,0,0,No problem. Maybe his wife will leak the secret.,You’ll be fine. Maybe he’ll come back alive.,Voxtral_CN
00857_0001_sad_0001_001060,0001,sad,happy,False,1.0,0.8778644800186157,True,1,1,個人收藏家，他們肯定有,私人收藏家，他们肯定有。,Voxtral_CN
00858_0001_sad_0001_001275,0001,sad,happy,True,0.375,0.8691890835762024,True,1,1,"Almost, we both are very enthusiastic and harmonious.",We both are very enthusiastic and friendly.,Voxtral_CN
00859_0001_sad_0001_001130,0001,sad,happy,True,0.0,1.0,True,skip_identical,1,"Look, we're almost ready to go.","Look, we're almost ready to go.",Voxtral_CN
00860_0001_sad_0001_001114,0001,sad,happy,True,1.0,0.803966760635376,True,1,1,"I'm leaving, I'll be back tonight to see you.","Bye, I'll come back to have dinner with you tonight.",Voxtral_CN
00861_0001_sad_0001_001330,0001,sad,happy,True,0.4444444444444444,0.2135903537273407,False,0,0,Definitely not go to the center of the lake.,Definitely can go to the heart of the Red Sea.,Voxtral_CN
